goos: darwin
goarch: amd64
pkg: github.com/corestoreio/csfw/storage/dbr
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	  200000	      7190 ns/op	     832 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	  200000	      7187 ns/op	     832 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	  300000	      4995 ns/op	     416 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	  300000	      4986 ns/op	     416 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	  300000	      4952 ns/op	     416 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	  300000	      4968 ns/op	     416 B/op	       2 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   30000	     53617 ns/op	   65804 B/op	    1051 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   30000	     53897 ns/op	   65805 B/op	    1051 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   30000	     54208 ns/op	   65817 B/op	    1051 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   30000	     53841 ns/op	   65804 B/op	    1051 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   10000	    112558 ns/op	    7544 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   10000	    113982 ns/op	    7542 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   10000	    113585 ns/op	    7545 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   10000	    114825 ns/op	    7544 B/op	      16 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      3471 ns/op	    2961 B/op	      21 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      3527 ns/op	    2961 B/op	      21 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      3457 ns/op	    2960 B/op	      21 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  500000	      3467 ns/op	    2961 B/op	      21 allocs/op
BenchmarkSelect_SQLCase-4                                     	  500000	      3220 ns/op	    2465 B/op	      24 allocs/op
BenchmarkSelect_SQLCase-4                                     	  500000	      3226 ns/op	    2465 B/op	      24 allocs/op
BenchmarkSelect_SQLCase-4                                     	  500000	      3223 ns/op	    2465 B/op	      24 allocs/op
BenchmarkSelect_SQLCase-4                                     	  500000	      3223 ns/op	    2465 B/op	      24 allocs/op
--- SKIP: BenchmarkSelect_Integration_Scanner
	benchmark_pub_test.go:312: Comment me out, if you want to run this benchmark
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1191 ns/op	     880 B/op	       9 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1194 ns/op	     880 B/op	       9 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1197 ns/op	     880 B/op	       9 allocs/op
