BenchmarkUpdateValuesSql-4     	 1000000	      1232 ns/op	     512 B/op	      15 allocs/op
BenchmarkUpdateValuesSql-4     	 1000000	      1359 ns/op	     512 B/op	      15 allocs/op
BenchmarkUpdateValuesSql-4     	 1000000	      1260 ns/op	     512 B/op	      15 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2172 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2216 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	  500000	      2877 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	  500000	      2572 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2159 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2172 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2158 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2249 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2976 ns/op	    1072 B/op	      24 allocs/op
BenchmarkUpdateValueMapSql-4   	 1000000	      2495 ns/op	    1072 B/op	      24 allocs/op
PASS
ok  	github.com/corestoreio/csfw/storage/dbr	139.117s
