goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/util/csjwt
BenchmarkBlake2b512SigningFast-4    	 2000000	       876 ns/op	     761 B/op	       6 allocs/op
BenchmarkBlake2b512SigningFast-4    	 2000000	       818 ns/op	     761 B/op	       6 allocs/op
BenchmarkBlake2b512SigningFast-4    	 2000000	       883 ns/op	     761 B/op	       6 allocs/op
BenchmarkHS256Verify-4              	 2000000	       779 ns/op	     544 B/op	       7 allocs/op
BenchmarkHS256Verify-4              	 2000000	       779 ns/op	     544 B/op	       7 allocs/op
BenchmarkHS256Verify-4              	 2000000	       803 ns/op	     544 B/op	       7 allocs/op
BenchmarkHS256Verify-4              	 2000000	       799 ns/op	     544 B/op	       7 allocs/op
BenchmarkHS384Verify-4              	 2000000	       996 ns/op	     896 B/op	       7 allocs/op
BenchmarkHS384Verify-4              	 2000000	       960 ns/op	     896 B/op	       7 allocs/op
BenchmarkHS384Verify-4              	 2000000	       995 ns/op	     896 B/op	       7 allocs/op
BenchmarkHS384Verify-4              	 2000000	       995 ns/op	     896 B/op	       7 allocs/op
BenchmarkHS512Verify-4              	 1000000	      1027 ns/op	     928 B/op	       7 allocs/op
BenchmarkHS512Verify-4              	 2000000	       975 ns/op	     928 B/op	       7 allocs/op
BenchmarkHS512Verify-4              	 1000000	      1012 ns/op	     928 B/op	       7 allocs/op
BenchmarkHS512Verify-4              	 1000000	      1021 ns/op	     928 B/op	       7 allocs/op
BenchmarkHS256VerifyFast-4          	 2000000	       653 ns/op	      64 B/op	       2 allocs/op
BenchmarkHS256VerifyFast-4          	 2000000	       652 ns/op	      64 B/op	       2 allocs/op
BenchmarkHS256VerifyFast-4          	 2000000	       657 ns/op	      64 B/op	       2 allocs/op
BenchmarkHS256VerifyFast-4          	 2000000	       667 ns/op	      64 B/op	       2 allocs/op
BenchmarkHS384VerifyFast-4          	 2000000	       773 ns/op	      96 B/op	       2 allocs/op
BenchmarkHS384VerifyFast-4          	 2000000	       794 ns/op	      96 B/op	       2 allocs/op
BenchmarkHS384VerifyFast-4          	 2000000	       768 ns/op	      96 B/op	       2 allocs/op
BenchmarkHS384VerifyFast-4          	 2000000	       791 ns/op	      96 B/op	       2 allocs/op
BenchmarkHS512VerifyFast-4          	 2000000	       793 ns/op	     128 B/op	       2 allocs/op
BenchmarkHS512VerifyFast-4          	 2000000	       814 ns/op	     128 B/op	       2 allocs/op
BenchmarkHS512VerifyFast-4          	 2000000	       800 ns/op	     128 B/op	       2 allocs/op
BenchmarkHS512VerifyFast-4          	 2000000	       805 ns/op	     128 B/op	       2 allocs/op
BenchmarkBlake2b256VerifyFast-4     	 5000000	       397 ns/op	      64 B/op	       2 allocs/op
BenchmarkBlake2b256VerifyFast-4     	 5000000	       400 ns/op	      64 B/op	       2 allocs/op
BenchmarkBlake2b256VerifyFast-4     	 5000000	       382 ns/op	      64 B/op	       2 allocs/op
BenchmarkBlake2b256VerifyFast-4     	 5000000	       394 ns/op	      64 B/op	       2 allocs/op
BenchmarkBlake2b512VerifyFast-4     	 5000000	       273 ns/op	     128 B/op	       2 allocs/op
BenchmarkBlake2b512VerifyFast-4     	 5000000	       282 ns/op	     128 B/op	       2 allocs/op
BenchmarkBlake2b512VerifyFast-4     	 5000000	       281 ns/op	     128 B/op	       2 allocs/op
BenchmarkBlake2b512VerifyFast-4     	 5000000	       268 ns/op	     128 B/op	       2 allocs/op
BenchmarkParseFromRequest_HS256-4   	  200000	     10977 ns/op	    1600 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS256-4   	  200000	     10866 ns/op	    1600 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS256-4   	  200000	     10922 ns/op	    1600 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS256-4   	  200000	     10909 ns/op	    1600 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS384-4   	  200000	     10876 ns/op	    1664 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS384-4   	  200000	     10904 ns/op	    1664 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS384-4   	  200000	     10882 ns/op	    1664 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS384-4   	  200000	     10875 ns/op	    1664 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS512-4   	  200000	     10951 ns/op	    1696 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS512-4   	  200000	     10938 ns/op	    1696 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS512-4   	  200000	     10936 ns/op	    1696 B/op	      42 allocs/op
BenchmarkParseFromRequest_HS512-4   	  200000	     10960 ns/op	    1696 B/op	      42 allocs/op
BenchmarkRS256Signing-4             	    3000	    607943 ns/op	   48685 B/op	     149 allocs/op
BenchmarkRS256Signing-4             	    3000	    601080 ns/op	   48685 B/op	     149 allocs/op
BenchmarkRS256Signing-4             	    2000	    604695 ns/op	   48679 B/op	     149 allocs/op
BenchmarkRS256Signing-4             	    2000	    604892 ns/op	   48678 B/op	     149 allocs/op
BenchmarkRS384Signing-4             	    2000	    602142 ns/op	   48790 B/op	     149 allocs/op
BenchmarkRS384Signing-4             	    2000	    606512 ns/op	   48794 B/op	     149 allocs/op
BenchmarkRS384Signing-4             	    2000	    604683 ns/op	   48799 B/op	     149 allocs/op
BenchmarkRS384Signing-4             	    2000	    615678 ns/op	   48794 B/op	     149 allocs/op
BenchmarkRS512Signing-4             	    2000	    605132 ns/op	   48822 B/op	     149 allocs/op
BenchmarkRS512Signing-4             	    2000	    605620 ns/op	   48822 B/op	     149 allocs/op
BenchmarkRS512Signing-4             	    2000	    602467 ns/op	   48827 B/op	     149 allocs/op
BenchmarkRS512Signing-4             	    2000	    601752 ns/op	   48814 B/op	     149 allocs/op
BenchmarkRS256Verify-4              	   50000	     26800 ns/op	   13807 B/op	      30 allocs/op
BenchmarkRS256Verify-4              	   50000	     25570 ns/op	   13808 B/op	      30 allocs/op
BenchmarkRS256Verify-4              	   50000	     25613 ns/op	   13808 B/op	      30 allocs/op
BenchmarkRS256Verify-4              	   50000	     23570 ns/op	   13808 B/op	      30 allocs/op
BenchmarkRS384Verify-4              	   50000	     27311 ns/op	   13919 B/op	      30 allocs/op
BenchmarkRS384Verify-4              	   50000	     23586 ns/op	   13920 B/op	      30 allocs/op
BenchmarkRS384Verify-4              	  100000	     25591 ns/op	   13919 B/op	      30 allocs/op
BenchmarkRS384Verify-4              	  100000	     25533 ns/op	   13919 B/op	      30 allocs/op
BenchmarkRS512Verify-4              	   50000	     26655 ns/op	   13935 B/op	      30 allocs/op
BenchmarkRS512Verify-4              	   50000	     26795 ns/op	   13934 B/op	      30 allocs/op
BenchmarkRS512Verify-4              	   50000	     25551 ns/op	   13935 B/op	      30 allocs/op
BenchmarkRS512Verify-4              	   50000	     23685 ns/op	   13936 B/op	      30 allocs/op
PASS
ok  	github.com/corestoreio/pkg/util/csjwt	253.071s
