Benchmark_MoneyNewGetf-4                   	 3000000	       552 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       542 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       532 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       537 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       533 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       535 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       531 ns/op	     176 B/op	       3 allocs/op
Benchmark_MoneyNewGetf-4                   	 3000000	       528 ns/op	     176 B/op	       3 allocs/op
PASS
ok  	github.com/corestoreio/csfw/storage/money	119.874s
