BenchmarkWithRunMode/Store_DE_GET-4                          	  500000	      3474 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_DE_GET-4                          	  500000	      3269 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_DE_GET-4                          	  500000	      3376 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_DE_GET-4                          	  500000	      3362 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_DE_GET-4                          	  500000	      3479 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1519 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1451 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1492 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1481 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1621 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1451 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1481 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1546 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1362 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_Cookie-4                       	 1000000	      1351 ns/op	    1236 B/op	      16 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3207 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3303 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3428 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3405 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3426 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3322 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3310 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3136 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3417 ns/op	    2709 B/op	      29 allocs/op
BenchmarkWithRunMode/Store_UK_GET-4                          	  500000	      3468 ns/op	    2709 B/op	      29 allocs/op
PASS
ok  	github.com/corestoreio/pkg/net/runmode	150.101s
