goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelectRows2007/Query-4                               	    1000	   2124977 ns/op	  742938 B/op	   17222 allocs/op
BenchmarkSelectRows2007/Query-4                               	    1000	   2130834 ns/op	  742961 B/op	   17222 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	    1000	   1976218 ns/op	  629761 B/op	   15738 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	    1000	   1978379 ns/op	  629736 B/op	   15738 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	    1000	   1978050 ns/op	  629738 B/op	   15738 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	    1000	   1976515 ns/op	  629708 B/op	   15738 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	    1000	   1973114 ns/op	  629727 B/op	   15738 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	    1000	   1957970 ns/op	  571035 B/op	   15723 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	    1000	   1966156 ns/op	  571013 B/op	   15723 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	    1000	   1885886 ns/op	  570945 B/op	   15722 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	    1000	   1894882 ns/op	  570984 B/op	   15723 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	    1000	   1910514 ns/op	  570973 B/op	   15723 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2000	    683150 ns/op	    1284 B/op	      14 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2000	    630242 ns/op	    1284 B/op	      14 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2000	    662307 ns/op	    1284 B/op	      14 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2000	    687212 ns/op	    1284 B/op	      14 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2000	    624990 ns/op	    1284 B/op	      14 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2000	    645649 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    3000	    629347 ns/op	    1429 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2000	    692247 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2000	    654663 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2000	    672372 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    2000	    659063 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    2000	    638987 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    2000	    672715 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    2000	    647858 ns/op	    1428 B/op	      17 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    2000	    668657 ns/op	    1428 B/op	      17 allocs/op
--- FAIL: BenchmarkJackC_GoDBBench
    benchmark_integration_test.go:294: [dml] Prepare.PrepareContext with query "SELECT `id`, `first_name`, `last_name`, `sex`, `birth_date`, `weight`, `height`, `update_time` FROM `dml_fake_person` WHERE (`id` BETWEEN ? AND ?)": Error 1146: Table 'test.dml_fake_person' doesn't exist
BenchmarkSelect_Rows-4                                        	  500000	      3195 ns/op	    6532 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3037 ns/op	    6532 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3038 ns/op	    6532 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3032 ns/op	    6532 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  500000	      3039 ns/op	    6532 B/op	      18 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2102 ns/op	    4072 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2105 ns/op	    4072 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2104 ns/op	    4072 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2101 ns/op	    4072 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	 1000000	      2105 ns/op	    4072 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4374 ns/op	    6137 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4374 ns/op	    6137 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4368 ns/op	    6138 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4377 ns/op	    6138 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  300000	      4379 ns/op	    6138 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3874 ns/op	    6393 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3866 ns/op	    6393 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3875 ns/op	    6393 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  300000	      3927 ns/op	    6393 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  500000	      3869 ns/op	    6393 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 1000000	      2331 ns/op	     438 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	10000000	      2185 ns/op	     368 B/op	       2 allocs/op
