goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/config
BenchmarkPath_Part-4                                	12783434	        93.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Validate-4                            	15817964	        76.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Validate-4                            	15693729	        76.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Validate-4                            	15633153	        76.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Validate-4                            	15709198	        76.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Validate-4                            	15800887	        76.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Split-4                               	33218448	        36.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Split-4                               	33279252	        36.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Split-4                               	33151375	        36.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Split-4                               	33268027	        36.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkPath_Split-4                               	33225487	        36.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkScopedServiceStringStore-4                 	 1235347	       968 ns/op	    1664 B/op	       5 allocs/op
BenchmarkScopedServiceStringStore-4                 	 1235590	       973 ns/op	    1664 B/op	       5 allocs/op
BenchmarkScopedServiceStringStore-4                 	 1231422	       973 ns/op	    1664 B/op	       5 allocs/op
BenchmarkScopedServiceStringStore-4                 	 1231225	       973 ns/op	    1664 B/op	       5 allocs/op
BenchmarkScopedServiceStringStore-4                 	 1237844	       972 ns/op	    1664 B/op	       5 allocs/op
BenchmarkScopedServiceStringWebsite-4               	 1568839	       770 ns/op	    1536 B/op	       4 allocs/op
BenchmarkScopedServiceStringWebsite-4               	 1568178	       766 ns/op	    1536 B/op	       4 allocs/op
BenchmarkScopedServiceStringWebsite-4               	 1565776	       767 ns/op	    1536 B/op	       4 allocs/op
BenchmarkScopedServiceStringWebsite-4               	 1568942	       763 ns/op	    1536 B/op	       4 allocs/op
BenchmarkScopedServiceStringWebsite-4               	 1602135	       727 ns/op	    1536 B/op	       4 allocs/op
BenchmarkScopedServiceStringDefault-4               	 2392605	       505 ns/op	    1408 B/op	       3 allocs/op
BenchmarkScopedServiceStringDefault-4               	 2380850	       504 ns/op	    1408 B/op	       3 allocs/op
BenchmarkScopedServiceStringDefault-4               	 2389700	       503 ns/op	    1408 B/op	       3 allocs/op
BenchmarkScopedServiceStringDefault-4               	 2370922	       504 ns/op	    1408 B/op	       3 allocs/op
BenchmarkScopedServiceStringDefault-4               	 2386904	       590 ns/op	    1408 B/op	       3 allocs/op
BenchmarkPathSlice_Sort-4                           	  883136	      1381 ns/op	     672 B/op	       2 allocs/op
BenchmarkPathSlice_Sort-4                           	  879411	      1384 ns/op	     672 B/op	       2 allocs/op
BenchmarkPathSlice_Sort-4                           	  867784	      1386 ns/op	     672 B/op	       2 allocs/op
BenchmarkPathSlice_Sort-4                           	  880550	      1381 ns/op	     672 B/op	       2 allocs/op
BenchmarkPathSlice_Sort-4                           	  876886	      1381 ns/op	     672 B/op	       2 allocs/op
BenchmarkPath_Marshal/MarshalText-4                 	 4676916	       256 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalText-4                 	 4679493	       256 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalText-4                 	 4607181	       258 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalText-4                 	 4649584	       259 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalText-4                 	 4638721	       259 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalText-4               	 4664745	       257 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalText-4               	 4653979	       258 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalText-4               	 4666390	       257 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalText-4               	 4669114	       258 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalText-4               	 4599607	       256 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalBinary-4               	25833159	        46.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalBinary-4               	26342084	        46.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalBinary-4               	26139686	        45.9 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalBinary-4               	25827574	        46.4 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/MarshalBinary-4               	26143042	        46.0 ns/op	      64 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalBinary-4             	 6009715	       200 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalBinary-4             	 6022527	       200 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalBinary-4             	 5977053	       201 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalBinary-4             	 5959538	       201 ns/op	      48 B/op	       1 allocs/op
BenchmarkPath_Marshal/UnmarshalBinary-4             	 5964226	       201 ns/op	      48 B/op	       1 allocs/op
PASS
ok  	github.com/corestoreio/pkg/config	171.669s
