testing: warning: no tests to run
BenchmarkToFloat64_Float64-4      	100000000	        13.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        14.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        13.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        13.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        14.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        13.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        14.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        14.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_Int64-4        	100000000	        15.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        81.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        83.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        84.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        84.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        83.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        85.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        83.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        83.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        83.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkToFloat64_String-4       	20000000	        83.6 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/corestoreio/csfw/util/conv	139.568s [no tests to run]
