goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_SQLCase-4                                  	  263606	      4549 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  264600	      4548 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  264577	      4566 ns/op	    4568 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1205 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1218 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  993435	      1261 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  943144	      1255 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1260 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 3663073	       781 ns/op	     209 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4227781	       373 ns/op	      44 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4750456	       308 ns/op	      43 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4788417	       270 ns/op	      37 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4799847	       271 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	65954870	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	65952372	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	66400774	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	66683470	        18.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	66038991	        18.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  637860	      1927 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  662460	      1892 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  624829	      1915 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  639208	      1888 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  618733	      1933 ns/op	    4049 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  767184	      1941 ns/op	    1365 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  744792	      1907 ns/op	    1368 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  765290	      1897 ns/op	    1366 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  729870	      1924 ns/op	    1370 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  732998	      1933 ns/op	    1369 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1814172	       660 ns/op	     832 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1788909	       634 ns/op	     832 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1894896	       633 ns/op	     832 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1903260	       632 ns/op	     832 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1900605	       633 ns/op	     832 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1435429	       837 ns/op	     904 B/op	      14 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1434512	       836 ns/op	     904 B/op	      14 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1434692	       836 ns/op	     904 B/op	      14 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1434374	       839 ns/op	     904 B/op	      14 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1436173	       836 ns/op	     904 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  783711	      1554 ns/op	     744 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  777842	      1546 ns/op	     744 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  778290	      1546 ns/op	     744 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  784201	      1547 ns/op	     744 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  781375	      1546 ns/op	     744 B/op	      14 allocs/op
BenchmarkRepeat/single-4                                   	 1396281	       859 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1396027	       861 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1393965	       860 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1385914	       859 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1396736	       860 ns/op	     256 B/op	       8 allocs/op
BenchmarkQuoteAs-4                                         	10215133	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10177536	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10104204	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10214644	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10171251	       118 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5677635	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5690379	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5670998	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5655784	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Worse_Case-4                           	 5693160	       211 ns/op	      96 B/op	       5 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17182568	        69.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17149868	        69.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17152190	        69.7 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17089554	        69.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteQuote/Best_Case-4                            	17191624	        69.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6498769	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6490099	       184 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6496840	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6509742	       184 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_expression_right-4                  	 6512694	       185 ns/op	     192 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5730133	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5723068	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5731322	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5730321	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_no_qualifier-4                      	 5723242	       210 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4301674	       279 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4288638	       280 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4295983	       279 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4269733	       280 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/3_args_with_qualifier-4                    	 4299201	       282 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6027408	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6034454	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6005828	       200 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6048637	       200 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/4_args-4                                   	 6048441	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6048872	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6043118	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6025492	       199 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6056696	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkIfNull/5_args-4                                   	 6045039	       198 ns/op	     208 B/op	       2 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	72200188	        16.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	69251581	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	72186864	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	72220616	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs-4                                 	72870097	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  130716	      9247 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  131964	      9176 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  130012	      9143 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  132018	      9151 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_not_cached-4                      	  131059	      9125 ns/op	   11740 B/op	      63 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	58955610	        20.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	59795769	        20.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	59772240	        20.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	59597377	        20.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/5_SELECTs_WithDBR-4                         	59635560	        20.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	72718656	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	72215800	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	70044741	        16.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkUnion/Template-4                                  	72534777	        16.5 ns/op	       0 B/op	       0 allocs/op
