goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_SQLCase-4                                  	  263972	      4578 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  262069	      4580 ns/op	    4568 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  262723	      4570 ns/op	    4568 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1172 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1173 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1174 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1173 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1178 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 3423784	       658 ns/op	     214 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4603303	       485 ns/op	      52 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4657734	       274 ns/op	      37 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4741950	       278 ns/op	      37 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4731364	       271 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	60101252	        19.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	59813689	        19.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	60239559	        19.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	60494442	        19.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	60493816	        20.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  639055	      1891 ns/op	    3827 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  633201	      1888 ns/op	    3826 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  648032	      1890 ns/op	    3826 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  633166	      1894 ns/op	    3827 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  637677	      1894 ns/op	    3827 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  782661	      1852 ns/op	    1140 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  752617	      1836 ns/op	    1143 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  782298	      1858 ns/op	    1140 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  756879	      1835 ns/op	    1143 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  765655	      1839 ns/op	    1142 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1916006	       626 ns/op	     608 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1919461	       622 ns/op	     608 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1925294	       622 ns/op	     608 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1928380	       623 ns/op	     608 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1909654	       623 ns/op	     608 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1635968	       735 ns/op	     584 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1637712	       732 ns/op	     584 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1645830	       729 ns/op	     584 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1631391	       710 ns/op	     584 B/op	      12 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1695351	       710 ns/op	     584 B/op	      12 allocs/op
BenchmarkRepeat/multi-4                                    	  750572	      1610 ns/op	     680 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  749067	      1612 ns/op	     680 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  750691	      1611 ns/op	     680 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  751993	      1616 ns/op	     680 B/op	      14 allocs/op
BenchmarkRepeat/multi-4                                    	  745614	      1612 ns/op	     680 B/op	      14 allocs/op
BenchmarkRepeat/single-4                                   	 1357252	       885 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1357183	       885 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1356218	       884 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1357381	       886 ns/op	     256 B/op	       8 allocs/op
BenchmarkRepeat/single-4                                   	 1357036	       884 ns/op	     256 B/op	       8 allocs/op
BenchmarkQuoteAs-4                                         	10471632	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10450063	       115 ns/op	      32 B/op	       1 allocs/op
BenchmarkQuoteAs-4                                         	10493774	       115 ns/op	      32 B/op	       1 allocs/op
