goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkSelect_SQLCase-4                                  	  250618	      4733 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  255438	      4740 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                  	  253845	      4738 ns/op	    4632 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  989784	      1229 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	 1000000	      1251 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  979826	      1250 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  991537	      1246 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                             	  982462	      1248 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 3660211	       773 ns/op	     209 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4216172	       376 ns/op	      44 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4749090	       312 ns/op	      43 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4803315	       270 ns/op	      37 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_no_cache-4                        	 4797136	       267 ns/op	      36 B/op	       2 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	67870800	        17.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	70645208	        17.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	70284264	        17.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	70083456	        17.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteSQL/ToSQL_with_cache-4                      	69421648	        17.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  635683	      1937 ns/op	    4113 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  631518	      1938 ns/op	    4113 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  610677	      1934 ns/op	    4113 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  618181	      1937 ns/op	    4113 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/NewInsert-4                       	  636357	      1947 ns/op	    4114 B/op	      16 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  607881	      1909 ns/op	    1453 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  778833	      1925 ns/op	    1428 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  746714	      1906 ns/op	    1432 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  716820	      1929 ns/op	    1435 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_no_cache-4                  	  736596	      1919 ns/op	    1433 B/op	      14 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1826896	       657 ns/op	     896 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1840584	       653 ns/op	     896 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1834812	       653 ns/op	     896 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1832810	       654 ns/op	     896 B/op	       9 allocs/op
BenchmarkInsertValuesSQL/ToSQL_with_cache-4                	 1834179	       654 ns/op	     896 B/op	       9 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1305084	       919 ns/op	    1064 B/op	      15 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1302670	       921 ns/op	    1064 B/op	      15 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1301150	       922 ns/op	    1064 B/op	      15 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1304700	       922 ns/op	    1064 B/op	      15 allocs/op
BenchmarkInsertRecordsSQL-4                                	 1304031	       925 ns/op	    1064 B/op	      15 allocs/op
BenchmarkRepeat/multi-4                                    	  650556	      1854 ns/op	     888 B/op	      21 allocs/op
BenchmarkRepeat/multi-4                                    	  643842	      1860 ns/op	     888 B/op	      21 allocs/op
