goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	 5171010	       232 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectRows2007/Query-4                               	     314	   3767454 ns/op	  742877 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     306	   3558619 ns/op	  742879 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     340	   3533623 ns/op	  742852 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     336	   3302491 ns/op	  742883 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     579	   2244368 ns/op	  629645 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     532	   2188751 ns/op	  629629 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     520	   2205494 ns/op	  629660 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     544	   2133111 ns/op	  629653 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     574	   2267977 ns/op	  570944 B/op	   15725 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     529	   2267663 ns/op	  570932 B/op	   15725 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     538	   2220243 ns/op	  570944 B/op	   15725 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     540	   2269225 ns/op	  570971 B/op	   15726 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2254	    541485 ns/op	    1097 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2238	    538055 ns/op	    1099 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2216	    563100 ns/op	    1099 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2292	    535304 ns/op	    1096 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2234	    535101 ns/op	    1208 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2179	    538159 ns/op	    1210 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2122	    534554 ns/op	    1209 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    2304	    540643 ns/op	    1208 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    1992	    568664 ns/op	    1208 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    2215	    573900 ns/op	    1208 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    1969	    564588 ns/op	    1208 B/op	      20 allocs/op
