goos: darwin
goarch: amd64
pkg: github.com/corestoreio/pkg/sql/dml
BenchmarkArgumentEncoding/numbers_with_warm_up-4              	 5147919	       233 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectRows2007/Query-4                               	     324	   3794727 ns/op	  742871 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     472	   2349777 ns/op	  742843 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     523	   2366759 ns/op	  742871 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Query-4                               	     493	   2353596 ns/op	  742873 B/op	   17225 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     556	   2167274 ns/op	  629666 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     560	   2201403 ns/op	  629664 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     548	   2228673 ns/op	  629691 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,noSliceReuse-4               	     554	   2135042 ns/op	  629660 B/op	   15741 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     522	   2277941 ns/op	  570986 B/op	   15726 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     530	   2257878 ns/op	  570985 B/op	   15726 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     548	   2198387 ns/op	  570978 B/op	   15726 allocs/op
BenchmarkSelectRows2007/Prepared,SliceReuse-4                 	     554	   2192796 ns/op	  570992 B/op	   15726 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    1953	    551086 ns/op	    1096 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2242	    551146 ns/op	    1096 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    2268	    560362 ns/op	    1096 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecRecord-4                         	    1964	    551694 ns/op	    1097 B/op	      18 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    3564	    502973 ns/op	    1209 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    3699	    369291 ns/op	    1210 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    4240	    282299 ns/op	    1209 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecArgs-4                           	    3994	    277575 ns/op	    1208 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    4399	    282941 ns/op	    1209 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    4245	    274156 ns/op	    1209 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    4143	    294084 ns/op	    1209 B/op	      20 allocs/op
BenchmarkInsert_Prepared/ExecContext-4                        	    4263	    303670 ns/op	    1209 B/op	      20 allocs/op
--- FAIL: BenchmarkJackC_GoDBBench
    benchmark_integration_test.go:216: [dml] Prepare.PrepareContext with query "SELECT `id`, `first_name`, `last_name`, `sex`, `birth_date`, `weight`, `height`, `update_time` FROM `dml_fake_person` WHERE (`id` BETWEEN ? AND ?)": Error 1146: Table 'test.dml_fake_person' doesn't exist
BenchmarkSelect_Rows-4                                        	  341856	      3350 ns/op	    6349 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  374041	      3261 ns/op	    6349 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  378156	      3262 ns/op	    6350 B/op	      18 allocs/op
BenchmarkSelect_Rows-4                                        	  367560	      3251 ns/op	    6349 B/op	      18 allocs/op
BenchmarkSelectBasicSQL-4                                     	  545822	      2177 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	  555165	      2082 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	  569955	      2089 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectBasicSQL-4                                     	  578792	      2089 ns/op	    3960 B/op	      14 allocs/op
BenchmarkSelectExcessConditions-4                             	  265300	      4505 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  266937	      4501 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  266712	      4501 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectExcessConditions-4                             	  266922	      4515 ns/op	    5913 B/op	      33 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  295862	      3947 ns/op	    6185 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  300244	      3948 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  302684	      3960 ns/op	    6184 B/op	      31 allocs/op
BenchmarkSelectFullSQL/NewSelect-4                            	  303808	      3945 ns/op	    6185 B/op	      31 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	  639141	      2098 ns/op	     401 B/op	       3 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 2252184	      1186 ns/op	     213 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 4891753	      1371 ns/op	     228 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_NoCache-4            	 4758951	       262 ns/op	      24 B/op	       2 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	60916191	        19.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	60812780	        19.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	60358365	        19.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelectFullSQL/ToSQL_Interpolate_Cache-4              	59847860	        19.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44182	     27117 ns/op	    9419 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44205	     27119 ns/op	    9414 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44140	     27156 ns/op	    9422 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/SQL-4                                	   44071	     27166 ns/op	    9419 B/op	      16 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   41018	     29354 ns/op	   10235 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   41140	     29316 ns/op	   10236 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   41077	     29331 ns/op	   10234 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate-4                        	   40596	     29448 ns/op	   10235 B/op	      23 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   39702	     30160 ns/op	   10671 B/op	      33 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   39744	     29899 ns/op	   10672 B/op	      33 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   40714	     29540 ns/op	   10675 B/op	      33 allocs/op
BenchmarkSelect_Large_IN/interpolate_named-4                  	   40749	     29494 ns/op	   10673 B/op	      33 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   46048	     26053 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   45910	     26097 ns/op	    5498 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   46059	     26054 ns/op	    5499 B/op	       6 allocs/op
BenchmarkSelect_Large_IN/interpolate_optimized-4              	   46092	     26086 ns/op	    5500 B/op	       6 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  479090	      2483 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  482320	      2490 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  482760	      2483 ns/op	    4688 B/op	      18 allocs/op
BenchmarkSelect_ComplexAddColumns-4                           	  484048	      2489 ns/op	    4689 B/op	      18 allocs/op
BenchmarkSelect_SQLCase-4                                     	  260900	      4624 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  262406	      4621 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  259628	      4614 ns/op	    4632 B/op	      19 allocs/op
BenchmarkSelect_SQLCase-4                                     	  261100	      4613 ns/op	    4632 B/op	      19 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1184 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1186 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1185 ns/op	    3136 B/op	       8 allocs/op
BenchmarkDeleteSQL/NewDelete-4                                	 1000000	      1185 ns/op	    3136 B/op	       8 allocs/op
